Key,Best CJM,Score
5,"[((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((12, 13, 15, 16, 18), (1, 19, 13, 17, 1)), ((11, 12, 13, 14, 16), (1, 6, 11, 13, 1)), ((12, 12.5, 14, 14.5, 16), (1, 13, 11, 1, 1)), ((7, 7.5, 8, 11, 21), (1, 16, 1, 3, 1))]",0.40787261405706854
7,"[((8, 8.5, 12, 13, 17, 19, 20), (1, 3, 13, 3, 1, 16, 1)), ((10, 10.5, 11.0, 12, 13, 14, 17), (1, 14, 17, 13, 11, 17, 1)), ((6, 7, 8, 8.5, 16, 16.5, 18), (1, 13, 6, 1, 6, 11, 1)), ((6, 8, 9, 13, 15, 19, 21), (1, 16, 1, 18, 1, 13, 1)), ((9, 10, 11, 13, 15, 18, 19), (1, 13, 14, 13, 14, 11, 1)), ((9, 9.5, 11), (1, 19, 1))]",0.6688639170082322
7,"[((8, 8.5, 12, 13, 17, 19, 20), (1, 3, 13, 3, 1, 16, 1)), ((10, 10.5, 11.0, 12, 13, 14, 17), (1, 14, 17, 13, 11, 17, 1)), ((6, 7, 8, 8.5, 16, 16.5, 18), (1, 13, 6, 1, 6, 11, 1)), ((6, 8, 9, 13, 15, 19, 21), (1, 16, 1, 18, 1, 13, 1)), ((9, 10, 11, 13, 15, 18, 19), (1, 13, 14, 13, 14, 11, 1)), ((9, 9.5, 11), (1, 19, 1))]",0.6688639170082322
7,"[((8, 8.5, 12, 13, 17, 19, 20), (1, 3, 13, 3, 1, 16, 1)), ((10, 10.5, 11.0, 12, 13, 14, 17), (1, 14, 17, 13, 11, 17, 1)), ((6, 7, 8, 8.5, 16, 16.5, 18), (1, 13, 6, 1, 6, 11, 1)), ((6, 8, 9, 13, 15, 19, 21), (1, 16, 1, 18, 1, 13, 1)), ((9, 10, 11, 13, 15, 18, 19), (1, 13, 14, 13, 14, 11, 1)), ((9, 9.5, 11), (1, 19, 1))]",0.6688639170082322
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 18, 19, 19.5, 21, 22), (1, 12, 1, 17, 1, 13, 1, 15, 9, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((11, 12, 13, 14, 16), (1, 6, 11, 13, 1)), ((9, 9.5, 11), (1, 19, 1))]",0.6787783842438689
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 18, 19, 19.5, 21, 22), (1, 12, 1, 17, 1, 13, 1, 15, 9, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((11, 12, 13, 14, 16), (1, 6, 11, 13, 1)), ((9, 9.5, 11), (1, 19, 1))]",0.6787783842438689
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 18, 19, 19.5, 21, 22), (1, 12, 1, 17, 1, 13, 1, 15, 9, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((11, 12, 13, 14, 16), (1, 6, 11, 13, 1)), ((9, 9.5, 11), (1, 19, 1))]",0.6787783842438689
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 18, 19, 19.5, 21, 22), (1, 12, 1, 17, 1, 13, 1, 15, 9, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((11, 12, 13, 14, 16), (1, 6, 11, 13, 1)), ((9, 9.5, 11), (1, 19, 1))]",0.6787783842438689
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 18, 19, 19.5, 21, 22), (1, 12, 1, 17, 1, 13, 1, 15, 9, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((11, 12, 13, 14, 16), (1, 6, 11, 13, 1)), ((9, 9.5, 11), (1, 19, 1))]",0.6787783842438689
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 18, 19, 19.5, 21, 22), (1, 12, 1, 17, 1, 13, 1, 15, 9, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((11, 12, 13, 14, 16), (1, 6, 11, 13, 1)), ((9, 9.5, 11), (1, 19, 1))]",0.6787783842438689
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 18, 19, 19.5, 21, 22), (1, 12, 1, 17, 1, 13, 1, 15, 9, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((11, 12, 13, 14, 16), (1, 6, 11, 13, 1)), ((9, 9.5, 11), (1, 19, 1))]",0.6787783842438689
10,"[((6, 6.5, 7, 8, 8.5, 9, 15, 16, 19, 22), (1, 16, 1, 16, 1, 4, 3, 1, 17, 1)), ((4, 4.5, 10, 11, 11.5, 12.0, 13, 14, 14.5, 18), (3, 1, 18, 18, 1, 1, 11, 11, 1, 3)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 1)), ((6, 7, 8, 10, 11, 12, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 18, 3, 3, 3, 3, 1)), ((7, 8, 8.5, 16, 16.5, 18), (13, 6, 1, 6, 11, 1)), ((9, 10, 11, 13, 15, 15, 18, 19), (1, 13, 14, 13, 14, 14, 11, 1)), ((16, 16.5, 17, 21), (1, 11, 17, 1)), ((9, 9.5, 11), (1, 19, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1))]",0.6807528805264746
10,"[((6, 6.5, 7, 8, 8.5, 9, 15, 16, 19, 22), (1, 16, 1, 16, 1, 4, 3, 1, 17, 1)), ((4, 4.5, 10, 11, 11.5, 12.0, 13, 14, 14.5, 18), (3, 1, 18, 18, 1, 1, 11, 11, 1, 3)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 1)), ((6, 7, 8, 10, 11, 12, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 18, 3, 3, 3, 3, 1)), ((7, 8, 8.5, 16, 16.5, 18), (13, 6, 1, 6, 11, 1)), ((9, 10, 11, 13, 15, 15, 18, 19), (1, 13, 14, 13, 14, 14, 11, 1)), ((16, 16.5, 17, 21), (1, 11, 17, 1)), ((9, 9.5, 11), (1, 19, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1))]",0.6807528805264746
10,"[((6, 6.5, 7, 8, 8.5, 9, 15, 16, 19, 22), (1, 16, 1, 16, 1, 4, 3, 1, 17, 1)), ((4, 4.5, 10, 11, 11.5, 12.0, 13, 14, 14.5, 18), (3, 1, 18, 18, 1, 1, 11, 11, 1, 3)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 1)), ((6, 7, 8, 10, 11, 12, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 18, 3, 3, 3, 3, 1)), ((7, 8, 8.5, 16, 16.5, 18), (13, 6, 1, 6, 11, 1)), ((9, 10, 11, 13, 15, 15, 18, 19), (1, 13, 14, 13, 14, 14, 11, 1)), ((16, 16.5, 17, 21), (1, 11, 17, 1)), ((9, 9.5, 11), (1, 19, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1))]",0.6807528805264746
10,"[((6, 6.5, 7, 8, 8.5, 9, 15, 16, 19, 22), (1, 16, 1, 16, 1, 4, 3, 1, 17, 1)), ((4, 4.5, 10, 11, 11.5, 12.0, 13, 14, 14.5, 18), (3, 1, 18, 18, 1, 1, 11, 11, 1, 3)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 1)), ((6, 7, 8, 10, 11, 12, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 18, 3, 3, 3, 3, 1)), ((7, 8, 8.5, 16, 16.5, 18), (13, 6, 1, 6, 11, 1)), ((9, 10, 11, 13, 15, 15, 18, 19), (1, 13, 14, 13, 14, 14, 11, 1)), ((16, 16.5, 17, 21), (1, 11, 17, 1)), ((9, 9.5, 11), (1, 19, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1))]",0.6807528805264746
